onset	duration	description	channels
789.570997	0.000000	incorrect	
791.033002	0.000000	animal_target	
791.589002	0.000000	correct	
792.986997	0.000000	animal_distractor	
794.833997	0.000000	animal_target	
796.736997	0.000000	animal_distractor	
798.919004	0.000000	animal_distractor	
801.107007	0.000000	animal_target	
801.563001	0.000000	correct	
803.066007	0.000000	animal_target	
803.512998	0.000000	correct	
805.150999	0.000000	animal_target	
805.604001	0.000000	correct	
807.005002	0.000000	animal_target	
809.193006	0.000000	animal_distractor	
811.199995	0.000000	animal_target	
811.790998	0.000000	correct	
813.096998	0.000000	animal_target	
813.507993	0.000000	correct	
815.038999	0.000000	animal_target	
817.016996	0.000000	animal_distractor	
818.936994	0.000000	animal_target	
819.434003	0.000000	correct	
821.061994	0.000000	animal_distractor	
823.251005	0.000000	animal_distractor	
825.318998	0.000000	animal_distractor	
827.406995	0.000000	animal_target	
827.921003	0.000000	correct	
829.533002	0.000000	animal_distractor	
831.462995	0.000000	animal_target	
831.979001	0.000000	correct	
833.484006	0.000000	animal_distractor	
835.585004	0.000000	animal_target	
835.977994	0.000000	correct	
837.477003	0.000000	animal_target	
837.835996	0.000000	correct	
839.604001	0.000000	animal_distractor	
841.611997	0.000000	animal_target	
842.089994	0.000000	correct	
843.615995	0.000000	animal_distractor	
843.647001	0.000000	incorrect	
845.565000	0.000000	animal_distractor	
847.589002	0.000000	animal_target	
848.025999	0.000000	correct	
849.783994	0.000000	animal_distractor	
851.731000	0.000000	animal_target	
852.171003	0.000000	correct	
853.913007	0.000000	animal_distractor	
855.919004	0.000000	animal_distractor	
858.083997	0.000000	animal_target	
858.527006	0.000000	correct	
859.943998	0.000000	animal_distractor	
862.070005	0.000000	animal_distractor	
864.081006	0.000000	animal_target	
864.505002	0.000000	correct	
869.386158	0.671632	BAD boundary	
869.480000	0.000000	EDGE boundary	
872.128000	0.000000	nonanimal_distractor	
874.324000	0.000000	nonanimal_target	
874.740000	0.000000	correct	
876.200000	0.000000	nonanimal_target	
876.349918	1.484659	BAD boundary	
876.593000	0.000000	correct	
878.237000	0.000000	nonanimal_target	
878.536000	0.000000	correct	
880.160000	0.000000	nonanimal_target	
880.499000	0.000000	correct	
882.025000	0.000000	nonanimal_distractor	
882.443000	0.000000	incorrect	
884.004000	0.000000	nonanimal_distractor	
886.202000	0.000000	nonanimal_distractor	
888.188000	0.000000	nonanimal_target	
888.645001	0.000000	correct	
890.331000	0.000000	nonanimal_target	
890.630000	0.000000	correct	
892.439000	0.000000	nonanimal_target	
892.760001	0.000000	correct	
894.546999	0.000000	nonanimal_target	
894.909001	0.000000	correct	
896.694001	0.000000	nonanimal_target	
896.986001	0.000000	correct	
898.567000	0.000000	nonanimal_target	
898.918000	0.000000	correct	
900.435000	0.000000	nonanimal_target	
900.748999	0.000000	correct	
902.634999	0.000000	nonanimal_distractor	
904.742001	0.000000	nonanimal_target	
905.133999	0.000000	correct	
906.751999	0.000000	nonanimal_target	
907.083001	0.000000	correct	
908.828999	0.000000	nonanimal_distractor	
910.683999	0.000000	nonanimal_target	
911.078000	0.000000	correct	
912.786000	0.000000	nonanimal_target	
913.114998	0.000000	correct	
914.933999	0.000000	nonanimal_target	
915.287999	0.000000	correct	
917.121998	0.000000	nonanimal_distractor	
919.133999	0.000000	nonanimal_distractor	
921.026001	0.000000	nonanimal_target	
921.451001	0.000000	correct	
922.912999	0.000000	nonanimal_distractor	
924.756001	0.000000	nonanimal_distractor	
926.817002	0.000000	nonanimal_distractor	
927.186001	0.000000	incorrect	
928.769001	0.000000	nonanimal_distractor	
930.910000	0.000000	nonanimal_distractor	
931.625721	0.424188	BAD boundary	
933.043000	0.000000	nonanimal_distractor	
935.099003	0.000000	nonanimal_distractor	
936.980000	0.000000	nonanimal_distractor	
939.188000	0.000000	nonanimal_target	
939.549000	0.000000	correct	
941.180996	0.000000	nonanimal_target	
941.552998	0.000000	correct	
943.151997	0.000000	nonanimal_distractor	
945.115002	0.000000	nonanimal_target	
945.643002	0.000000	correct	
947.211003	0.000000	nonanimal_target	
947.768002	0.000000	correct	
949.347996	0.000000	nonanimal_target	
949.720997	0.000000	correct	
951.238003	0.000000	nonanimal_distractor	
953.337002	0.000000	nonanimal_target	
953.862004	0.000000	correct	
955.230999	0.000000	nonanimal_target	
955.678997	0.000000	correct	
957.168004	0.000000	nonanimal_target	
957.468998	0.000000	correct	
959.175000	0.000000	nonanimal_distractor	
961.203000	0.000000	nonanimal_distractor	
963.151997	0.000000	nonanimal_distractor	
965.225003	0.000000	nonanimal_target	
965.689999	0.000000	correct	
967.156003	0.000000	nonanimal_target	
967.533001	0.000000	correct	
969.354001	0.000000	nonanimal_distractor	
969.641003	0.000000	incorrect	
971.344998	0.000000	nonanimal_target	
971.687001	0.000000	correct	
973.411999	0.000000	nonanimal_distractor	
975.219554	0.424198	BAD boundary	
975.225003	0.000000	nonanimal_target	
975.643002	0.000000	correct	
977.092999	0.000000	nonanimal_distractor	
979.078000	0.000000	nonanimal_distractor	
980.941998	0.000000	nonanimal_distractor	
983.061001	0.000000	nonanimal_target	
983.569996	0.000000	correct	
985.115002	0.000000	nonanimal_distractor	
987.191998	0.000000	nonanimal_target	
987.697003	0.000000	correct	
989.314000	0.000000	nonanimal_target	
989.689999	0.000000	correct	
991.305996	0.000000	nonanimal_distractor	
993.434002	0.000000	nonanimal_distractor	
993.804215	1.131194	BAD boundary	
995.530003	0.000000	nonanimal_distractor	
997.647999	0.000000	nonanimal_target	
997.980000	0.000000	correct	
999.500996	0.000000	nonanimal_target	
999.789006	0.000000	correct	
1001.616993	0.000000	nonanimal_distractor	
1003.440007	0.000000	nonanimal_distractor	
1005.368000	0.000000	nonanimal_target	
1005.892994	0.000000	correct	
1007.446995	0.000000	nonanimal_distractor	
1009.414006	0.000000	nonanimal_distractor	
1011.347004	0.000000	nonanimal_target	
1011.728001	0.000000	correct	
1013.446995	0.000000	nonanimal_distractor	
1015.263997	0.000000	nonanimal_target	
1015.584996	0.000000	correct	
1017.093007	0.000000	nonanimal_distractor	
1019.239995	0.000000	nonanimal_distractor	
1021.065999	0.000000	nonanimal_distractor	
1022.946003	0.000000	nonanimal_distractor	
1024.877003	0.000000	nonanimal_target	
1025.256993	0.000000	correct	
1026.890004	0.000000	nonanimal_distractor	
1028.983998	0.000000	nonanimal_distractor	
1030.860997	0.000000	nonanimal_target	
1031.364995	0.000000	correct	
1032.761006	0.000000	nonanimal_target	
1033.185002	0.000000	correct	
1034.586995	0.000000	nonanimal_target	
1034.901005	0.000000	correct	
1036.500004	0.000000	nonanimal_target	
1036.804997	0.000000	correct	
1038.560994	0.000000	nonanimal_distractor	
1040.463994	0.000000	nonanimal_distractor	
1042.319005	0.000000	nonanimal_distractor	
1044.528004	0.000000	nonanimal_target	
1045.024998	0.000000	correct	
1046.442006	0.000000	nonanimal_target	
1047.248005	0.000000	correct	
1048.558003	0.000000	nonanimal_target	
1048.933995	0.000000	correct	
1050.737996	0.000000	nonanimal_target	
1051.049000	0.000000	correct	
1052.933995	0.000000	nonanimal_target	
1053.302006	0.000000	correct	
1055.123005	0.000000	nonanimal_target	
1055.407994	0.000000	correct	
1057.308003	0.000000	nonanimal_distractor	
1059.459996	0.000000	nonanimal_distractor	
1061.558995	0.000000	nonanimal_target	
1061.968998	0.000000	correct	
1063.647007	0.000000	nonanimal_target	
1063.978993	0.000000	correct	
1065.534993	0.000000	nonanimal_distractor	
1067.703999	0.000000	nonanimal_distractor	
1069.806996	0.000000	nonanimal_distractor	
1071.653996	0.000000	nonanimal_distractor	
1076.320000	0.000000	BAD boundary	
1076.320000	0.000000	EDGE boundary	
1079.852000	0.000000	difficult_distractor	
1081.673000	0.000000	difficult_distractor	
1083.695000	0.000000	difficult_target	
