roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,225.0,3.549712573830522,0.006218692736288985,0.07006837754569716,False,4.518863017085872
Frontal ROI,226.0,3.5025144975364713,0.00669697759709231,0.07006837754569716,False,4.580518637711371
Frontal ROI,227.0,3.457401248138007,0.007190228562122683,0.07302131514769236,False,4.632760186125979
Frontal ROI,228.0,3.4139893015020517,0.00770083158226126,0.0749761519328492,False,4.676117143171844
Frontal ROI,229.0,3.3708463196999565,0.008245896620489083,0.07811315582382225,False,4.71331525263848
Frontal ROI,230.0,3.3261962965825727,0.008852529048380912,0.08111852976213028,False,4.748301125963306
Frontal ROI,231.0,3.2787710897573126,0.009547990511358238,0.08472330820838132,False,4.784866166526579
Frontal ROI,232.0,3.2283761266146835,0.010349537752377687,0.08813684564626495,False,4.82544524247878
Frontal ROI,233.0,3.175945498601518,0.011257884287989833,0.09284443395153968,False,4.870546038343383
Frontal ROI,234.0,3.1231498164383704,0.012256244509153358,0.09875433794156901,False,4.918958661987742
Frontal ROI,235.0,3.071803647286305,0.013315127967314908,0.1060670989214517,False,4.968549456171505
Frontal ROI,236.0,3.023337812238367,0.014401237180364655,0.11342996925208565,False,5.017218282083902
Frontal ROI,237.0,2.978508458132218,0.01548702790365289,0.12062673956067418,False,5.063589487984545
Frontal ROI,238.0,2.9373912544167466,0.016556809209200732,0.1261556875614099,False,5.10719505682291
Frontal ROI,239.0,2.8996026100245462,0.01760676236557853,0.13271333783086614,False,5.148177381470006
Frontal ROI,240.0,2.864618934162533,0.018639489550806895,0.13900300186293227,False,5.1867502908991785
Frontal ROI,241.0,2.8320440801427194,0.019656718347079816,0.14504589011897845,False,5.222740585820605
Frontal ROI,242.0,2.8017182535246414,0.02065457590637617,0.15082143448301766,False,5.255469985645444
Frontal ROI,243.0,2.773644081161442,0.02162428787885094,0.15467985513341337,False,5.284051290785387
Frontal ROI,244.0,2.7477829516557235,0.02255848264809931,0.15973228622543048,False,5.307939043272585
Frontal ROI,245.0,2.723822597150206,0.023460552837458716,0.16445847539058558,False,5.327423676505893
Frontal ROI,246.0,2.7010387893267387,0.024352233662247293,0.16901896828945892,False,5.343780260680567
Frontal ROI,247.0,2.6783618798938305,0.025273805421637777,0.1736954666722361,False,5.3589584501395064
Frontal ROI,248.0,2.654694945333465,0.026273239829603983,0.177091741543773,False,5.374911657727535
Frontal ROI,249.0,2.6294111752398077,0.02738507810145418,0.18282799761066076,False,5.3928109268459625
Frontal ROI,250.0,2.6028220525250703,0.028605522210439025,0.18917425537280902,False,5.412441344303316
Frontal ROI,251.0,2.57634836043874,0.029875043198914698,0.195723413854572,False,5.432034367696202
Frontal ROI,252.0,2.5522208088916667,0.03108129056599221,0.19801452239586248,False,5.44866508122656
Frontal ROI,253.0,2.532769719770688,0.03208921092449081,0.19951481966268764,False,5.459147018786194
Frontal ROI,254.0,2.519578050316909,0.032791345086206146,0.19951481966268764,False,5.461135052543276
Frontal ROI,255.0,2.5128220489576165,0.0331568688145903,0.19951481966268764,False,5.453990087018605
Frontal ROI,256.0,2.511026691759312,0.03325468751122357,0.19951481966268764,False,5.438969936972619
Frontal ROI,257.0,2.5113269115893995,0.03323831018846607,0.19951481966268764,False,5.418547128595128
Frontal ROI,258.0,2.510198544285694,0.03329990570689651,0.19951481966268764,False,5.395053726600047
Frontal ROI,259.0,2.504471316181761,0.033614308643757834,0.19969178270571392,False,5.36923088685071
